title,subtitle,description,url,imgsrc
Peek,Simple screen recorder with an easy to use interface, Peek makes it easy to create short screencasts of a screen area. It was built for the specific use case of recording screen areas: e.g. for easily showing UI features of your own apps or for showing a bug in bug reports. With Peek you simply place the Peek window over the area you want to record and press "Record". Peek is optimized for generating animated GIFs but you can also directly record to WebM or MP4 if you prefer.,https://github.com/phw/peek, https://raw.githubusercontent.com/phw/peek/master/data/screenshots/peek-recording-itself.gif
PDF Mix Tool,An application to perform common editing operations on PDF files,PDF Mix Tool is a simple and lightweight application that allows you to perform common editing operations on PDF files., https://scarpetta.eu/pdfmixtool/,https://scarpetta.eu/pdfmixtool/merge_files.png
0 A.D.,Real-Time Strategy Game of Ancient Warfare, 0 A.D. is a real-time strategy (RTS) game of ancient warfare. It's a historically-based war/economy game that allows players to relive or rewrite the history of thirteen ancient civilizations - each depicted at their peak of economic growth and military prowess., https://play0ad.com/, https://f4.bcbits.com/img/a1104932006_10.jpg
Lutris,Lutris is an open source gaming platform,Lutris helps you install and manage your games in a unified interface. It's goal is to support every game which runs on Linux - from native to Windows games (via Wine) to emulators and browser games. The desktop application and the website are libre software,https://lutris.net/,https://lutris.net/static/images/screenshots/main-window.bdae71679b4e.png
Signal,Private messenger for the desktop,Signal is a Free and Open Source instant messenger allowing you to communicate with complete privacy. The messages are end-to-end encrypted and the server does not store any of your data.,https://signal.org/,https://play-lh.googleusercontent.com/vyoFt2cyNbOVy22uKdGJRCZ-6UB-6YMXmwbIl5-PjGpmSgLLb9hiYx5Jw9mpmIEhgg
